,Date,Price
0,2003-06-09,74.59
1,2003-06-16,74.47
2,2003-06-23,74.42
3,2003-06-30,74.35
4,2003-07-07,74.28
5,2003-07-14,74.21
6,2003-07-21,75.07
7,2003-07-28,75.1
8,2003-08-04,75.12
9,2003-08-11,75.44
10,2003-08-18,75.81
11,2003-08-26,76.05
12,2003-09-01,76.13
13,2003-09-08,76.23
14,2003-09-15,76.2
15,2003-09-22,76.15
16,2003-09-29,76.08
17,2003-10-06,76.43
18,2003-10-13,75.9
19,2003-10-20,76.05
20,2003-10-27,76.0
21,2003-11-03,76.0
22,2003-11-10,75.94
23,2003-11-17,75.93
24,2003-11-24,76.02
25,2003-12-01,76.0
26,2003-12-08,75.97
27,2003-12-15,75.96
28,2003-12-22,75.92
29,2003-12-29,75.94
30,2004-01-05,75.88
31,2004-01-12,75.9
32,2004-01-19,76.36
33,2004-01-26,76.44
34,2004-02-02,76.48
35,2004-02-09,76.5
36,2004-02-16,76.44
37,2004-02-23,76.38
38,2004-03-01,76.32
39,2004-03-08,76.73
40,2004-03-15,77.39
41,2004-03-22,77.44
42,2004-03-29,77.59
43,2004-04-05,77.86
44,2004-04-12,77.88
45,2004-04-19,78.04
46,2004-04-26,78.4
47,2004-05-04,79.28
48,2004-05-10,80.3
49,2004-05-17,81.49
50,2004-05-24,82.13
51,2004-05-31,82.35
52,2004-06-07,82.44
53,2004-06-14,81.54
54,2004-06-21,81.04
55,2004-06-28,80.41
56,2004-07-05,79.87
57,2004-07-12,80.34
58,2004-07-19,80.84
59,2004-07-26,80.87
60,2004-08-02,80.86
61,2004-08-09,81.18
62,2004-08-16,81.25
63,2004-08-23,81.51
64,2004-08-31,81.53
65,2004-09-06,81.37
66,2004-09-13,81.31
67,2004-09-20,81.28
68,2004-09-27,81.63
69,2004-10-04,82.05
70,2004-10-11,83.11
71,2004-10-18,83.35
72,2004-10-25,83.94
73,2004-11-01,84.27
74,2004-11-08,84.34
75,2004-11-15,84.26
76,2004-11-22,81.46
77,2004-11-29,84.17
78,2004-12-06,84.06
79,2004-12-13,182.73
80,2004-12-20,81.46
81,2004-12-27,81.2
82,2005-01-03,81.17
83,2005-01-10,79.84
84,2005-01-17,78.93
85,2005-01-24,78.93
86,2005-01-31,79.54
87,2005-02-07,79.84
88,2005-02-14,80.03
89,2005-02-21,80.15
90,2005-02-28,80.45
91,2005-03-07,81.16
92,2005-03-14,81.64
93,2005-03-21,82.7
94,2005-03-28,83.4
95,2005-04-04,83.91
96,2005-04-11,85.61
97,2005-04-18,85.63
98,2005-04-25,85.51
99,2005-05-02,85.44
100,2005-05-09,85.36
101,2005-05-16,85.27
102,2005-05-23,84.77
103,2005-05-30,84.18
104,2005-06-06,84.01
105,2005-06-13,84.99
106,2005-06-20,85.52
107,2005-06-27,86.73
108,2005-07-04,87.49
109,2005-07-11,87.73
110,2005-07-18,88.55
111,2005-07-25,89.0
112,2005-08-01,89.25
113,2005-08-08,89.67
114,2005-08-15,90.56
115,2005-08-22,90.77
116,2005-08-29,91.42
117,2005-09-05,94.37
118,2005-09-12,95.07
119,2005-09-19,94.41
120,2005-09-26,93.33
121,2005-10-03,93.51
122,2005-10-10,94.25
123,2005-10-17,94.14
124,2005-10-24,93.47
125,2005-11-07,92.47
126,2005-11-14,90.53
127,2005-11-21,88.61
128,2005-11-28,87.35
129,2005-12-05,87.35
130,2005-12-12,87.2
131,2005-12-19,87.56
132,2005-12-26,87.88
133,2006-01-02,88.03
134,2006-01-09,88.56
135,2006-01-16,89.01
136,2006-01-23,89.55
137,2006-01-30,89.88
138,2006-02-06,89.73
139,2006-02-13,89.65
140,2006-02-20,89.6
141,2006-02-27,189.51
142,2006-03-06,89.37
143,2006-03-13,89.55
144,2006-03-20,90.19
145,2006-03-27,91.16
146,2006-04-03,91.78
147,2006-04-10,92.77
148,2006-04-18,94.23
149,2006-04-24,95.35
150,2006-05-01,96.13
151,2006-05-08,96.46
152,2006-05-15,96.39
153,2006-05-22,96.1
154,2006-05-29,95.36
155,2006-06-05,95.24
156,2006-06-12,95.49
157,2006-06-19,95.44
158,2006-06-26,94.97
159,2006-07-03,95.27
160,2006-07-10,95.69
161,2006-07-17,96.88
162,2006-07-24,97.78
163,2006-07-31,97.83
164,2006-08-07,98.05
165,2006-08-14,97.82
166,2006-08-21,95.74
167,2006-08-28,94.4
168,2006-09-04,92.88
169,2006-09-11,91.48
170,2006-09-18,89.78
171,2006-09-25,88.2
172,2006-10-02,86.95
173,2006-10-09,86.6
174,2006-10-16,85.91
175,2006-10-23,85.74
176,2006-10-30,85.6
177,2006-11-06,85.54
178,2006-11-13,85.49
179,2006-11-27,85.47
180,2006-12-04,85.46
181,2006-12-11,87.44
182,2006-12-18,87.7
183,2006-12-25,87.9
184,2007-01-01,87.85
185,2007-01-08,87.66
186,2007-01-15,87.1
187,2007-01-22,86.28
188,2007-01-29,85.66
189,2007-02-05,85.62
190,2007-02-12,86.12
191,2007-02-19,86.6
192,2007-02-26,87.07
193,2007-03-05,87.74
194,2007-03-12,88.48
195,2007-03-19,88.93
196,2007-03-26,89.32
197,2007-04-02,90.47
198,2007-04-10,91.18
199,2007-04-16,91.99
200,2007-04-23,92.93
201,2007-04-30,93.45
202,2007-05-07,94.43
203,2007-05-14,95.07
204,2007-05-21,95.71
205,2007-05-28,96.16
206,2007-06-04,96.51
207,2007-06-11,96.61
208,2007-06-18,96.56
209,2007-06-25,96.54
210,2007-07-02,96.36
211,2007-07-09,96.2
212,2007-07-16,96.21
213,2007-07-23,96.23
214,2007-07-30,96.2
215,2007-08-06,96.15
216,2007-08-13,96.0
217,2007-08-20,95.31
218,2007-08-27,95.0
219,2007-09-03,94.8
220,2007-09-10,94.63
221,2007-09-17,94.65
222,2007-09-24,94.91
223,2007-10-01,96.39
224,2007-10-08,97.14
225,2007-10-15,97.19
226,2007-10-22,97.81
227,2007-10-29,98.26
228,2007-11-05,99.36
229,2007-11-12,100.74
230,2007-11-19,101.47
231,2007-11-26,102.13
232,2007-12-03,102.58
233,2007-12-10,102.67
234,2007-12-17,102.6
235,2007-12-24,102.53
236,2007-12-31,102.66
237,2008-01-07,103.37
238,2008-01-14,103.82
239,2008-01-21,104.22
240,2008-01-28,104.22
241,2008-02-04,104.03
242,2008-02-11,103.67
243,2008-02-18,103.7
244,2008-02-25,104.65
245,2008-03-03,105.24
246,2008-03-10,105.96
247,2008-03-17,106.41
248,2008-03-24,106.9
249,2008-03-31,107.1
250,2008-04-07,107.24
251,2008-04-14,107.61
252,2008-04-21,108.57
253,2008-04-28,109.5
254,2008-05-05,110.3
255,2008-05-12,111.04
256,2008-05-19,112.96
257,2008-05-26,114.79
258,2008-06-02,116.03
259,2008-06-09,116.86
260,2008-06-16,117.69
261,2008-06-23,118.44
262,2008-06-30,118.84
263,2008-07-07,119.28
264,2008-07-14,119.44
265,2008-07-21,119.4
266,2008-07-28,116.91
267,2008-08-04,115.06
268,2008-08-11,113.92
269,2008-08-18,112.22
270,2008-08-25,112.02
271,2008-09-01,112.2
272,2008-09-08,112.55
273,2008-09-15,112.51
274,2008-09-22,110.81
275,2008-09-29,109.85
276,2008-10-06,109.45
277,2008-10-13,107.04
278,2008-10-20,102.66
279,2008-10-27,98.62
280,2008-11-03,97.4
281,2008-11-10,95.89
282,2008-11-17,94.83
283,2008-11-24,92.79
284,2008-12-01,91.47
285,2008-12-08,90.16
286,2008-12-15,89.07
287,2008-12-22,88.01
288,2008-12-29,87.34
289,2009-01-05,85.42
290,2009-01-12,86.02
291,2009-01-19,86.19
292,2009-01-26,87.42
293,2009-02-02,88.16
294,2009-02-09,89.28
295,2009-02-16,90.12
296,2009-02-23,90.33
297,2009-03-02,90.28
298,2009-03-09,90.15
299,2009-03-16,90.16
300,2009-03-23,90.16
301,2009-03-30,91.35
302,2009-04-06,93.72
303,2009-04-13,94.11
304,2009-04-20,94.62
305,2009-04-27,95.13
306,2009-05-04,95.6
307,2009-05-11,96.59
308,2009-05-18,97.54
309,2009-05-25,98.9
310,2009-06-01,99.39
311,2009-06-08,100.59
312,2009-06-15,101.98
313,2009-06-22,102.81
314,2009-06-29,103.3
315,2009-07-06,103.57
316,2009-07-13,102.78
317,2009-07-20,102.22
318,2009-07-27,102.17
319,2009-08-03,102.36
320,2009-08-10,103.01
321,2009-08-17,103.96
322,2009-08-24,104.7
323,2009-08-31,105.11
324,2009-09-07,106.85
325,2009-09-14,106.43
326,2009-09-21,105.96
327,2009-09-28,105.44
328,2009-10-05,104.87
329,2009-10-12,104.71
330,2009-10-19,105.08
331,2009-10-26,106.76
332,2009-11-02,107.43
333,2009-11-09,108.1
334,2009-11-16,108.48
335,2009-11-23,108.73
336,2009-11-30,108.79
337,2009-12-07,108.64
338,2009-12-14,108.5
339,2009-12-21,107.47
340,2009-12-28,107.44
341,2010-01-04,109.34
342,2010-01-11,110.72
343,2010-01-18,111.6
344,2010-01-25,111.87
345,2010-02-01,111.91
346,2010-02-08,111.95
347,2010-02-15,111.89
348,2010-02-22,111.56
349,2010-03-01,112.42
350,2010-03-08,113.71
351,2010-03-15,115.46
352,2010-03-22,116.59
353,2010-03-29,117.28
354,2010-04-05,119.29
355,2010-04-12,119.94
356,2010-04-19,120.55
357,2010-04-26,120.99
358,2010-05-03,121.18
359,2010-05-10,121.31
360,2010-05-17,121.3
361,2010-05-24,119.93
362,2010-05-31,118.54
363,2010-06-07,118.2
364,2010-06-14,117.87
365,2010-06-21,117.8
366,2010-06-28,117.88
367,2010-07-05,117.91
368,2010-07-12,117.39
369,2010-07-19,116.85
370,2010-07-26,116.61
371,2010-08-02,116.51
372,2010-08-09,116.35
373,2010-08-16,116.34
374,2010-08-23,115.64
375,2010-08-30,114.98
376,2010-09-06,114.59
377,2010-09-13,114.66
378,2010-09-20,115.06
379,2010-09-27,115.39
380,2010-10-04,116.01
381,2010-10-11,116.78
382,2010-10-18,117.28
383,2010-10-25,117.74
384,2010-11-01,118.18
385,2010-11-08,118.67
386,2010-11-15,118.8
387,2010-11-22,118.99
388,2010-11-29,119.21
389,2010-12-06,120.54
390,2010-12-13,121.68
391,2010-12-20,122.31
392,2010-12-27,123.44
393,2011-01-03,124.85
394,2011-01-10,127.4
395,2011-01-17,127.87
396,2011-01-24,128.35
397,2011-01-31,128.55
398,2011-02-07,128.64
399,2011-02-14,128.73
400,2011-02-21,128.92
401,2011-02-28,129.72
402,2011-03-07,131.28
403,2011-03-14,132.18
404,2011-03-21,133.11
405,2011-03-28,132.44
406,2011-04-04,132.81
407,2011-04-11,133.68
408,2011-04-18,135.06
409,2011-04-25,135.62
410,2011-05-02,136.29
411,2011-05-09,137.05
412,2011-05-16,136.4
413,2011-05-23,136.11
414,2011-05-30,135.57
415,2011-06-06,135.62
416,2011-06-13,135.86
417,2011-06-20,136.03
418,2011-06-27,134.86
419,2011-07-04,133.43
420,2011-07-11,134.18
421,2011-07-18,134.97
422,2011-07-25,135.66
423,2011-08-01,136.07
424,2011-08-08,136.46
425,2011-08-15,135.95
426,2011-08-22,134.56
427,2011-08-29,134.32
428,2011-09-05,134.62
429,2011-09-12,135.0
430,2011-09-19,135.4
431,2011-09-26,135.65
432,2011-10-03,135.02
433,2011-10-10,134.47
434,2011-10-17,134.49
435,2011-10-24,134.66
436,2011-10-31,134.73
437,2011-11-07,134.41
438,2011-11-14,133.68
439,2011-11-21,133.38
440,2011-11-28,133.17
441,2011-12-05,132.78
442,2011-12-12,132.53
443,2011-12-19,132.49
444,2011-12-26,132.41
445,2012-01-02,132.4
446,2012-01-09,132.68
447,2012-01-16,133.29
448,2012-01-23,133.72
449,2012-01-30,134.1
450,2012-02-06,134.25
451,2012-02-13,134.9
452,2012-02-20,135.21
453,2012-02-27,136.21
454,2012-03-05,137.3
455,2012-03-12,137.9
456,2012-03-19,138.96
457,2012-03-26,139.48
458,2012-04-02,140.99
459,2012-04-09,141.97
460,2012-04-16,142.17
461,2012-04-23,141.76
462,2012-04-30,141.0
463,2012-05-07,140.14
464,2012-05-14,138.29
465,2012-05-21,135.77
466,2012-05-28,134.37
467,2012-06-04,134.06
468,2012-06-11,133.67
469,2012-06-18,131.99
470,2012-06-25,131.55
471,2012-07-02,130.5
472,2012-07-09,131.06
473,2012-07-16,131.49
474,2012-07-23,132.21
475,2012-07-30,132.78
476,2012-08-06,133.39
477,2012-08-13,134.27
478,2012-08-20,135.72
479,2012-08-27,137.1
480,2012-09-03,138.03
481,2012-09-10,138.91
482,2012-09-17,139.42
483,2012-09-24,139.54
484,2012-10-01,138.43
485,2012-10-08,138.24
486,2012-10-15,138.35
487,2012-10-22,138.29
488,2012-10-29,136.98
489,2012-11-05,136.43
490,2012-11-12,135.09
491,2012-11-19,134.56
492,2012-11-26,134.38
493,2012-12-03,133.05
494,2012-12-10,132.55
495,2012-12-17,131.98
496,2012-12-24,131.95
497,2012-12-31,131.92
498,2013-01-07,131.86
499,2013-01-14,132.0
500,2013-01-21,132.21
501,2013-01-28,132.95
502,2013-02-04,134.38
503,2013-02-11,135.56
504,2013-02-18,136.86
505,2013-02-25,138.5
506,2013-03-04,139.47
507,2013-03-11,140.0
508,2013-03-18,137.58
509,2013-03-25,137.09
510,2013-04-01,137.3
511,2013-04-08,137.31
512,2013-04-15,137.11
513,2013-04-22,135.68
514,2013-04-29,134.66
515,2013-05-06,133.42
516,2013-05-13,133.12
517,2013-05-20,133.17
518,2013-05-27,133.64
519,2013-06-03,134.04
520,2013-06-10,134.3
521,2013-06-17,134.46
522,2013-06-24,134.52
523,2013-07-01,133.44
524,2013-07-08,133.77
525,2013-07-15,134.95
526,2013-07-22,136.04
527,2013-07-29,136.87
528,2013-08-05,137.02
529,2013-08-12,137.13
530,2013-08-19,137.0
531,2013-08-28,136.83
532,2013-09-02,137.14
533,2013-09-09,137.6
534,2013-09-16,137.47
535,2013-09-23,136.95
536,2013-09-30,133.4
537,2013-10-07,131.62
538,2013-10-14,131.67
539,2013-10-21,131.53
540,2013-10-28,131.42
541,2013-11-04,129.92
542,2013-11-11,129.71
543,2013-11-18,129.89
544,2013-11-25,130.03
545,2013-12-02,130.25
546,2013-12-09,130.76
547,2013-12-16,130.96
548,2013-12-23,130.05
549,2013-12-30,130.03
550,2014-01-06,130.26
551,2014-01-13,130.36
552,2014-01-20,129.37
553,2014-01-27,129.02
554,2014-02-03,128.85
555,2014-02-10,128.81
556,2014-02-17,129.16
557,2014-02-24,129.2
558,2014-03-03,129.36
559,2014-03-10,129.39
560,2014-03-17,128.76
561,2014-03-24,128.57
562,2014-03-31,128.76
563,2014-04-07,128.71
564,2014-04-14,128.89
565,2014-04-21,129.11
566,2014-04-28,129.09
567,2014-05-05,129.27
568,2014-05-12,129.5
569,2014-05-19,129.42
570,2014-05-26,129.51
571,2014-06-02,129.63
572,2014-06-09,129.69
573,2014-06-16,129.88
574,2014-06-23,130.14
575,2014-06-30,130.69
576,2014-07-07,131.1
577,2014-07-14,131.11
578,2014-07-21,131.04
579,2014-07-28,130.83
580,2014-08-04,129.63
581,2014-08-11,129.41
582,2014-08-18,129.29
583,2014-08-25,128.34
584,2014-09-01,128.01
585,2014-09-08,128.34
586,2014-09-15,128.43
587,2014-09-22,128.62
588,2014-09-29,128.59
589,2014-10-06,126.78
590,2014-10-13,126.5
591,2014-10-20,125.4
592,2014-10-27,125.11
593,2014-11-03,123.94
594,2014-11-10,122.94
595,2014-11-17,122.5
596,2014-11-24,122.29
597,2014-12-01,121.18
598,2014-12-08,119.83
599,2014-12-15,116.3
600,2014-12-22,113.66
601,2014-12-29,113.16
602,2015-01-05,111.06
603,2015-01-12,108.87
604,2015-01-19,106.83
605,2015-01-26,106.32
606,2015-02-02,106.04
607,2015-02-09,106.35
608,2015-02-16,107.26
609,2015-02-23,108.34
610,2015-03-02,109.2
611,2015-03-09,110.07
612,2015-03-16,111.04
613,2015-03-23,111.65
614,2015-03-30,112.06
615,2015-04-06,112.37
616,2015-04-13,112.52
617,2015-04-20,112.87
618,2015-04-27,113.55
619,2015-05-04,114.27
620,2015-05-11,115.1
621,2015-05-18,115.74
622,2015-05-25,116.02
623,2015-06-01,116.13
624,2015-06-08,116.26
625,2015-06-15,116.39
626,2015-06-22,116.6
627,2015-06-29,116.55
628,2015-07-06,116.34
629,2015-07-13,116.41
630,2015-07-20,116.79
631,2015-07-27,116.44
632,2015-08-03,116.12
633,2015-08-10,115.48
634,2015-08-17,114.58
635,2015-08-24,113.23
636,2015-08-31,111.21
637,2015-09-07,110.9
638,2015-09-14,110.6
639,2015-09-21,110.61
640,2015-09-28,109.47
641,2015-10-05,108.94
642,2015-10-12,108.97
643,2015-10-19,109.01
644,2015-10-26,108.04
645,2015-11-02,107.21
646,2015-11-09,107.14
647,2015-11-16,107.36
648,2015-11-23,107.29
649,2015-11-30,106.97
650,2015-12-07,106.75
651,2015-12-14,104.0
652,2015-12-21,102.33
653,2015-12-28,102.11
654,2016-01-04,102.0
655,2016-01-11,101.89
656,2016-01-18,101.8
657,2016-01-25,101.42
658,2016-02-01,101.36
659,2016-02-08,101.51
660,2016-02-15,101.45
661,2016-02-22,101.39
662,2016-02-29,101.42
663,2016-03-07,101.46
664,2016-03-14,101.71
665,2016-03-21,102.58
666,2016-03-28,103.4
667,2016-04-04,104.51
668,2016-04-11,105.39
669,2016-04-18,106.41
670,2016-04-25,107.14
671,2016-05-02,107.82
672,2016-05-09,108.19
673,2016-05-16,108.53
674,2016-05-23,109.12
675,2016-05-30,109.79
676,2016-06-06,110.4
677,2016-06-13,111.03
678,2016-06-20,111.22
679,2016-06-27,111.44
680,2016-07-04,111.65
681,2016-07-11,111.89
682,2016-07-18,111.92
683,2016-07-25,111.69
684,2016-08-01,111.05
685,2016-08-08,109.75
686,2016-08-15,109.28
687,2016-08-22,109.63
688,2016-08-29,110.43
689,2016-09-05,110.97
690,2016-09-12,111.31
691,2016-09-19,111.29
692,2016-09-26,111.36
693,2016-10-03,111.65
694,2016-10-10,112.35
695,2016-10-17,113.72
696,2016-10-24,115.2
697,2016-10-31,116.02
698,2016-11-07,116.56
699,2016-11-14,116.5
700,2016-11-21,114.71
701,2016-11-28,113.72
702,2016-12-05,113.66
703,2016-12-12,114.23
704,2016-12-19,115.0
705,2016-12-26,115.45
706,2017-01-02,117.0
707,2017-01-09,117.98
708,2017-01-16,118.63
709,2017-01-23,119.43
710,2017-01-30,120.01
711,2017-02-06,120.18
712,2017-02-13,120.15
713,2017-02-20,120.2
714,2017-02-27,120.12
715,2017-03-06,120.02
716,2017-03-13,119.8
717,2017-03-20,118.95
718,2017-03-27,118.03
719,2017-04-03,116.93
720,2017-04-10,117.02
721,2017-04-17,117.54
722,2017-04-24,118.15
723,2017-05-01,118.08
724,2017-05-08,117.06
725,2017-05-15,115.6
726,2017-05-22,115.67
727,2017-05-29,115.79
728,2017-06-05,115.82
729,2017-06-12,115.69
730,2017-06-19,115.12
731,2017-06-26,114.43
732,2017-07-03,113.74
733,2017-07-10,113.58
734,2017-07-17,113.89
735,2017-07-24,113.99
736,2017-07-31,114.16
737,2017-08-07,114.78
738,2017-08-14,115.53
739,2017-08-21,116.04
740,2017-08-28,116.4
741,2017-09-04,116.95
742,2017-09-11,118.14
743,2017-09-18,118.85
744,2017-09-25,118.87
745,2017-10-02,118.13
746,2017-10-09,117.16
747,2017-10-16,117.01
748,2017-10-23,117.04
749,2017-10-30,117.06
750,2017-11-06,117.57
751,2017-11-13,118.91
752,2017-11-20,119.67
753,2017-11-27,120.13
754,2017-12-04,119.75
755,2017-12-11,119.91
756,2017-12-18,119.98
757,2017-12-25,120.0
758,2018-01-01,120.19
759,2018-01-08,120.52
760,2018-01-15,120.96
761,2018-01-22,121.5
762,2018-01-29,121.69
763,2018-02-05,121.73
764,2018-02-12,121.58
765,2018-02-19,120.52
766,2018-02-26,119.55
767,2018-03-05,119.29
768,2018-03-12,119.11
769,2018-03-19,119.17
770,2018-03-26,119.23
771,2018-04-02,119.43
772,2018-04-09,119.96
773,2018-04-16,120.56
774,2018-04-23,121.44
775,2018-04-30,122.22
776,2018-05-07,123.27
777,2018-05-14,124.32
778,2018-05-21,125.93
779,2018-05-28,127.58
780,2018-06-04,128.43
781,2018-06-11,128.61
782,2018-06-18,127.92
783,2018-06-25,127.18
784,2018-07-02,126.54
785,2018-07-09,126.97
786,2018-07-16,127.47
787,2018-07-23,127.5
788,2018-07-30,127.54
789,2018-08-06,128.02
790,2018-08-13,128.39
791,2018-08-20,128.79
792,2018-08-27,129.18
793,2018-09-03,129.76
794,2018-09-10,130.24
795,2018-09-17,130.59
796,2018-09-24,130.59
797,2018-10-01,129.98
798,2018-10-08,130.15
799,2018-10-15,130.81
800,2018-10-22,130.98
801,2018-10-29,130.64
802,2018-11-05,130.11
803,2018-11-12,128.94
804,2018-11-19,127.4
805,2018-11-26,125.77
806,2018-12-03,124.3
807,2018-12-10,122.37
808,2018-12-17,121.02
809,2018-12-24,120.61
810,2018-12-31,120.18
