,Date,Price,Year,Month,Day
0,2003-06-09,74.59,2003,June,Monday
1,2003-06-16,74.47,2003,June,Monday
2,2003-06-23,74.42,2003,June,Monday
3,2003-06-30,74.35,2003,June,Monday
4,2003-07-07,74.28,2003,July,Monday
5,2003-07-14,74.21,2003,July,Monday
6,2003-07-21,75.07,2003,July,Monday
7,2003-07-28,75.1,2003,July,Monday
8,2003-08-04,75.12,2003,August,Monday
9,2003-08-11,75.44,2003,August,Monday
10,2003-08-18,75.81,2003,August,Monday
11,2003-08-26,76.05,2003,August,Tuesday
12,2003-09-01,76.13,2003,September,Monday
13,2003-09-08,76.23,2003,September,Monday
14,2003-09-15,76.2,2003,September,Monday
15,2003-09-22,76.15,2003,September,Monday
16,2003-09-29,76.08,2003,September,Monday
17,2003-10-06,76.43,2003,October,Monday
18,2003-10-13,75.9,2003,October,Monday
19,2003-10-20,76.05,2003,October,Monday
20,2003-10-27,76.0,2003,October,Monday
21,2003-11-03,76.0,2003,November,Monday
22,2003-11-10,75.94,2003,November,Monday
23,2003-11-17,75.93,2003,November,Monday
24,2003-11-24,76.02,2003,November,Monday
25,2003-12-01,76.0,2003,December,Monday
26,2003-12-08,75.97,2003,December,Monday
27,2003-12-15,75.96,2003,December,Monday
28,2003-12-22,75.92,2003,December,Monday
29,2003-12-29,75.94,2003,December,Monday
30,2004-01-05,75.88,2004,January,Monday
31,2004-01-12,75.9,2004,January,Monday
32,2004-01-19,76.36,2004,January,Monday
33,2004-01-26,76.44,2004,January,Monday
34,2004-02-02,76.48,2004,February,Monday
35,2004-02-09,76.5,2004,February,Monday
36,2004-02-16,76.44,2004,February,Monday
37,2004-02-23,76.38,2004,February,Monday
38,2004-03-01,76.32,2004,March,Monday
39,2004-03-08,76.73,2004,March,Monday
40,2004-03-15,77.39,2004,March,Monday
41,2004-03-22,77.44,2004,March,Monday
42,2004-03-29,77.59,2004,March,Monday
43,2004-04-05,77.86,2004,April,Monday
44,2004-04-12,77.88,2004,April,Monday
45,2004-04-19,78.04,2004,April,Monday
46,2004-04-26,78.4,2004,April,Monday
47,2004-05-04,79.28,2004,May,Tuesday
48,2004-05-10,80.3,2004,May,Monday
49,2004-05-17,81.49,2004,May,Monday
50,2004-05-24,82.13,2004,May,Monday
51,2004-05-31,82.35,2004,May,Monday
52,2004-06-07,82.44,2004,June,Monday
53,2004-06-14,81.54,2004,June,Monday
54,2004-06-21,81.04,2004,June,Monday
55,2004-06-28,80.41,2004,June,Monday
56,2004-07-05,79.87,2004,July,Monday
57,2004-07-12,80.34,2004,July,Monday
58,2004-07-19,80.84,2004,July,Monday
59,2004-07-26,80.87,2004,July,Monday
60,2004-08-02,80.86,2004,August,Monday
61,2004-08-09,81.18,2004,August,Monday
62,2004-08-16,81.25,2004,August,Monday
63,2004-08-23,81.51,2004,August,Monday
64,2004-08-31,81.53,2004,August,Tuesday
65,2004-09-06,81.37,2004,September,Monday
66,2004-09-13,81.31,2004,September,Monday
67,2004-09-20,81.28,2004,September,Monday
68,2004-09-27,81.63,2004,September,Monday
69,2004-10-04,82.05,2004,October,Monday
70,2004-10-11,83.11,2004,October,Monday
71,2004-10-18,83.35,2004,October,Monday
72,2004-10-25,83.94,2004,October,Monday
73,2004-11-01,84.27,2004,November,Monday
74,2004-11-08,84.34,2004,November,Monday
75,2004-11-15,84.26,2004,November,Monday
76,2004-11-22,81.46,2004,November,Monday
77,2004-11-29,84.17,2004,November,Monday
78,2004-12-06,84.06,2004,December,Monday
79,2004-12-13,182.73,2004,December,Monday
80,2004-12-20,81.46,2004,December,Monday
81,2004-12-27,81.2,2004,December,Monday
82,2005-01-03,81.17,2005,January,Monday
83,2005-01-10,79.84,2005,January,Monday
84,2005-01-17,78.93,2005,January,Monday
85,2005-01-24,78.93,2005,January,Monday
86,2005-01-31,79.54,2005,January,Monday
87,2005-02-07,79.84,2005,February,Monday
88,2005-02-14,80.03,2005,February,Monday
89,2005-02-21,80.15,2005,February,Monday
90,2005-02-28,80.45,2005,February,Monday
91,2005-03-07,81.16,2005,March,Monday
92,2005-03-14,81.64,2005,March,Monday
93,2005-03-21,82.7,2005,March,Monday
94,2005-03-28,83.4,2005,March,Monday
95,2005-04-04,83.91,2005,April,Monday
96,2005-04-11,85.61,2005,April,Monday
97,2005-04-18,85.63,2005,April,Monday
98,2005-04-25,85.51,2005,April,Monday
99,2005-05-02,85.44,2005,May,Monday
100,2005-05-09,85.36,2005,May,Monday
101,2005-05-16,85.27,2005,May,Monday
102,2005-05-23,84.77,2005,May,Monday
103,2005-05-30,84.18,2005,May,Monday
104,2005-06-06,84.01,2005,June,Monday
105,2005-06-13,84.99,2005,June,Monday
106,2005-06-20,85.52,2005,June,Monday
107,2005-06-27,86.73,2005,June,Monday
108,2005-07-04,87.49,2005,July,Monday
109,2005-07-11,87.73,2005,July,Monday
110,2005-07-18,88.55,2005,July,Monday
111,2005-07-25,89.0,2005,July,Monday
112,2005-08-01,89.25,2005,August,Monday
113,2005-08-08,89.67,2005,August,Monday
114,2005-08-15,90.56,2005,August,Monday
115,2005-08-22,90.77,2005,August,Monday
116,2005-08-29,91.42,2005,August,Monday
117,2005-09-05,94.37,2005,September,Monday
118,2005-09-12,95.07,2005,September,Monday
119,2005-09-19,94.41,2005,September,Monday
120,2005-09-26,93.33,2005,September,Monday
121,2005-10-03,93.51,2005,October,Monday
122,2005-10-10,94.25,2005,October,Monday
123,2005-10-17,94.14,2005,October,Monday
124,2005-10-24,93.47,2005,October,Monday
125,2005-11-07,92.47,2005,November,Monday
126,2005-11-14,90.53,2005,November,Monday
127,2005-11-21,88.61,2005,November,Monday
128,2005-11-28,87.35,2005,November,Monday
129,2005-12-05,87.35,2005,December,Monday
130,2005-12-12,87.2,2005,December,Monday
131,2005-12-19,87.56,2005,December,Monday
132,2005-12-26,87.88,2005,December,Monday
133,2006-01-02,88.03,2006,January,Monday
134,2006-01-09,88.56,2006,January,Monday
135,2006-01-16,89.01,2006,January,Monday
136,2006-01-23,89.55,2006,January,Monday
137,2006-01-30,89.88,2006,January,Monday
138,2006-02-06,89.73,2006,February,Monday
139,2006-02-13,89.65,2006,February,Monday
140,2006-02-20,89.6,2006,February,Monday
141,2006-02-27,189.51,2006,February,Monday
142,2006-03-06,89.37,2006,March,Monday
143,2006-03-13,89.55,2006,March,Monday
144,2006-03-20,90.19,2006,March,Monday
145,2006-03-27,91.16,2006,March,Monday
146,2006-04-03,91.78,2006,April,Monday
147,2006-04-10,92.77,2006,April,Monday
148,2006-04-18,94.23,2006,April,Tuesday
149,2006-04-24,95.35,2006,April,Monday
150,2006-05-01,96.13,2006,May,Monday
151,2006-05-08,96.46,2006,May,Monday
152,2006-05-15,96.39,2006,May,Monday
153,2006-05-22,96.1,2006,May,Monday
154,2006-05-29,95.36,2006,May,Monday
155,2006-06-05,95.24,2006,June,Monday
156,2006-06-12,95.49,2006,June,Monday
157,2006-06-19,95.44,2006,June,Monday
158,2006-06-26,94.97,2006,June,Monday
159,2006-07-03,95.27,2006,July,Monday
160,2006-07-10,95.69,2006,July,Monday
161,2006-07-17,96.88,2006,July,Monday
162,2006-07-24,97.78,2006,July,Monday
163,2006-07-31,97.83,2006,July,Monday
164,2006-08-07,98.05,2006,August,Monday
165,2006-08-14,97.82,2006,August,Monday
166,2006-08-21,95.74,2006,August,Monday
167,2006-08-28,94.4,2006,August,Monday
168,2006-09-04,92.88,2006,September,Monday
169,2006-09-11,91.48,2006,September,Monday
170,2006-09-18,89.78,2006,September,Monday
171,2006-09-25,88.2,2006,September,Monday
172,2006-10-02,86.95,2006,October,Monday
173,2006-10-09,86.6,2006,October,Monday
174,2006-10-16,85.91,2006,October,Monday
175,2006-10-23,85.74,2006,October,Monday
176,2006-10-30,85.6,2006,October,Monday
177,2006-11-06,85.54,2006,November,Monday
178,2006-11-13,85.49,2006,November,Monday
179,2006-11-27,85.47,2006,November,Monday
180,2006-12-04,85.46,2006,December,Monday
181,2006-12-11,87.44,2006,December,Monday
182,2006-12-18,87.7,2006,December,Monday
183,2006-12-25,87.9,2006,December,Monday
184,2007-01-01,87.85,2007,January,Monday
185,2007-01-08,87.66,2007,January,Monday
186,2007-01-15,87.1,2007,January,Monday
187,2007-01-22,86.28,2007,January,Monday
188,2007-01-29,85.66,2007,January,Monday
189,2007-02-05,85.62,2007,February,Monday
190,2007-02-12,86.12,2007,February,Monday
191,2007-02-19,86.6,2007,February,Monday
192,2007-02-26,87.07,2007,February,Monday
193,2007-03-05,87.74,2007,March,Monday
194,2007-03-12,88.48,2007,March,Monday
195,2007-03-19,88.93,2007,March,Monday
196,2007-03-26,89.32,2007,March,Monday
197,2007-04-02,90.47,2007,April,Monday
198,2007-04-10,91.18,2007,April,Tuesday
199,2007-04-16,91.99,2007,April,Monday
200,2007-04-23,92.93,2007,April,Monday
201,2007-04-30,93.45,2007,April,Monday
202,2007-05-07,94.43,2007,May,Monday
203,2007-05-14,95.07,2007,May,Monday
204,2007-05-21,95.71,2007,May,Monday
205,2007-05-28,96.16,2007,May,Monday
206,2007-06-04,96.51,2007,June,Monday
207,2007-06-11,96.61,2007,June,Monday
208,2007-06-18,96.56,2007,June,Monday
209,2007-06-25,96.54,2007,June,Monday
210,2007-07-02,96.36,2007,July,Monday
211,2007-07-09,96.2,2007,July,Monday
212,2007-07-16,96.21,2007,July,Monday
213,2007-07-23,96.23,2007,July,Monday
214,2007-07-30,96.2,2007,July,Monday
215,2007-08-06,96.15,2007,August,Monday
216,2007-08-13,96.0,2007,August,Monday
217,2007-08-20,95.31,2007,August,Monday
218,2007-08-27,95.0,2007,August,Monday
219,2007-09-03,94.8,2007,September,Monday
220,2007-09-10,94.63,2007,September,Monday
221,2007-09-17,94.65,2007,September,Monday
222,2007-09-24,94.91,2007,September,Monday
223,2007-10-01,96.39,2007,October,Monday
224,2007-10-08,97.14,2007,October,Monday
225,2007-10-15,97.19,2007,October,Monday
226,2007-10-22,97.81,2007,October,Monday
227,2007-10-29,98.26,2007,October,Monday
228,2007-11-05,99.36,2007,November,Monday
229,2007-11-12,100.74,2007,November,Monday
230,2007-11-19,101.47,2007,November,Monday
231,2007-11-26,102.13,2007,November,Monday
232,2007-12-03,102.58,2007,December,Monday
233,2007-12-10,102.67,2007,December,Monday
234,2007-12-17,102.6,2007,December,Monday
235,2007-12-24,102.53,2007,December,Monday
236,2007-12-31,102.66,2007,December,Monday
237,2008-01-07,103.37,2008,January,Monday
238,2008-01-14,103.82,2008,January,Monday
239,2008-01-21,104.22,2008,January,Monday
240,2008-01-28,104.22,2008,January,Monday
241,2008-02-04,104.03,2008,February,Monday
242,2008-02-11,103.67,2008,February,Monday
243,2008-02-18,103.7,2008,February,Monday
244,2008-02-25,104.65,2008,February,Monday
245,2008-03-03,105.24,2008,March,Monday
246,2008-03-10,105.96,2008,March,Monday
247,2008-03-17,106.41,2008,March,Monday
248,2008-03-24,106.9,2008,March,Monday
249,2008-03-31,107.1,2008,March,Monday
250,2008-04-07,107.24,2008,April,Monday
251,2008-04-14,107.61,2008,April,Monday
252,2008-04-21,108.57,2008,April,Monday
253,2008-04-28,109.5,2008,April,Monday
254,2008-05-05,110.3,2008,May,Monday
255,2008-05-12,111.04,2008,May,Monday
256,2008-05-19,112.96,2008,May,Monday
257,2008-05-26,114.79,2008,May,Monday
258,2008-06-02,116.03,2008,June,Monday
259,2008-06-09,116.86,2008,June,Monday
260,2008-06-16,117.69,2008,June,Monday
261,2008-06-23,118.44,2008,June,Monday
262,2008-06-30,118.84,2008,June,Monday
263,2008-07-07,119.28,2008,July,Monday
264,2008-07-14,119.44,2008,July,Monday
265,2008-07-21,119.4,2008,July,Monday
266,2008-07-28,116.91,2008,July,Monday
267,2008-08-04,115.06,2008,August,Monday
268,2008-08-11,113.92,2008,August,Monday
269,2008-08-18,112.22,2008,August,Monday
270,2008-08-25,112.02,2008,August,Monday
271,2008-09-01,112.2,2008,September,Monday
272,2008-09-08,112.55,2008,September,Monday
273,2008-09-15,112.51,2008,September,Monday
274,2008-09-22,110.81,2008,September,Monday
275,2008-09-29,109.85,2008,September,Monday
276,2008-10-06,109.45,2008,October,Monday
277,2008-10-13,107.04,2008,October,Monday
278,2008-10-20,102.66,2008,October,Monday
279,2008-10-27,98.62,2008,October,Monday
280,2008-11-03,97.4,2008,November,Monday
281,2008-11-10,95.89,2008,November,Monday
282,2008-11-17,94.83,2008,November,Monday
283,2008-11-24,92.79,2008,November,Monday
284,2008-12-01,91.47,2008,December,Monday
285,2008-12-08,90.16,2008,December,Monday
286,2008-12-15,89.07,2008,December,Monday
287,2008-12-22,88.01,2008,December,Monday
288,2008-12-29,87.34,2008,December,Monday
289,2009-01-05,85.42,2009,January,Monday
290,2009-01-12,86.02,2009,January,Monday
291,2009-01-19,86.19,2009,January,Monday
292,2009-01-26,87.42,2009,January,Monday
293,2009-02-02,88.16,2009,February,Monday
294,2009-02-09,89.28,2009,February,Monday
295,2009-02-16,90.12,2009,February,Monday
296,2009-02-23,90.33,2009,February,Monday
297,2009-03-02,90.28,2009,March,Monday
298,2009-03-09,90.15,2009,March,Monday
299,2009-03-16,90.16,2009,March,Monday
300,2009-03-23,90.16,2009,March,Monday
301,2009-03-30,91.35,2009,March,Monday
302,2009-04-06,93.72,2009,April,Monday
303,2009-04-13,94.11,2009,April,Monday
304,2009-04-20,94.62,2009,April,Monday
305,2009-04-27,95.13,2009,April,Monday
306,2009-05-04,95.6,2009,May,Monday
307,2009-05-11,96.59,2009,May,Monday
308,2009-05-18,97.54,2009,May,Monday
309,2009-05-25,98.9,2009,May,Monday
310,2009-06-01,99.39,2009,June,Monday
311,2009-06-08,100.59,2009,June,Monday
312,2009-06-15,101.98,2009,June,Monday
313,2009-06-22,102.81,2009,June,Monday
314,2009-06-29,103.3,2009,June,Monday
315,2009-07-06,103.57,2009,July,Monday
316,2009-07-13,102.78,2009,July,Monday
317,2009-07-20,102.22,2009,July,Monday
318,2009-07-27,102.17,2009,July,Monday
319,2009-08-03,102.36,2009,August,Monday
320,2009-08-10,103.01,2009,August,Monday
321,2009-08-17,103.96,2009,August,Monday
322,2009-08-24,104.7,2009,August,Monday
323,2009-08-31,105.11,2009,August,Monday
324,2009-09-07,106.85,2009,September,Monday
325,2009-09-14,106.43,2009,September,Monday
326,2009-09-21,105.96,2009,September,Monday
327,2009-09-28,105.44,2009,September,Monday
328,2009-10-05,104.87,2009,October,Monday
329,2009-10-12,104.71,2009,October,Monday
330,2009-10-19,105.08,2009,October,Monday
331,2009-10-26,106.76,2009,October,Monday
332,2009-11-02,107.43,2009,November,Monday
333,2009-11-09,108.1,2009,November,Monday
334,2009-11-16,108.48,2009,November,Monday
335,2009-11-23,108.73,2009,November,Monday
336,2009-11-30,108.79,2009,November,Monday
337,2009-12-07,108.64,2009,December,Monday
338,2009-12-14,108.5,2009,December,Monday
339,2009-12-21,107.47,2009,December,Monday
340,2009-12-28,107.44,2009,December,Monday
341,2010-01-04,109.34,2010,January,Monday
342,2010-01-11,110.72,2010,January,Monday
343,2010-01-18,111.6,2010,January,Monday
344,2010-01-25,111.87,2010,January,Monday
345,2010-02-01,111.91,2010,February,Monday
346,2010-02-08,111.95,2010,February,Monday
347,2010-02-15,111.89,2010,February,Monday
348,2010-02-22,111.56,2010,February,Monday
349,2010-03-01,112.42,2010,March,Monday
350,2010-03-08,113.71,2010,March,Monday
351,2010-03-15,115.46,2010,March,Monday
352,2010-03-22,116.59,2010,March,Monday
353,2010-03-29,117.28,2010,March,Monday
354,2010-04-05,119.29,2010,April,Monday
355,2010-04-12,119.94,2010,April,Monday
356,2010-04-19,120.55,2010,April,Monday
357,2010-04-26,120.99,2010,April,Monday
358,2010-05-03,121.18,2010,May,Monday
359,2010-05-10,121.31,2010,May,Monday
360,2010-05-17,121.3,2010,May,Monday
361,2010-05-24,119.93,2010,May,Monday
362,2010-05-31,118.54,2010,May,Monday
363,2010-06-07,118.2,2010,June,Monday
364,2010-06-14,117.87,2010,June,Monday
365,2010-06-21,117.8,2010,June,Monday
366,2010-06-28,117.88,2010,June,Monday
367,2010-07-05,117.91,2010,July,Monday
368,2010-07-12,117.39,2010,July,Monday
369,2010-07-19,116.85,2010,July,Monday
370,2010-07-26,116.61,2010,July,Monday
371,2010-08-02,116.51,2010,August,Monday
372,2010-08-09,116.35,2010,August,Monday
373,2010-08-16,116.34,2010,August,Monday
374,2010-08-23,115.64,2010,August,Monday
375,2010-08-30,114.98,2010,August,Monday
376,2010-09-06,114.59,2010,September,Monday
377,2010-09-13,114.66,2010,September,Monday
378,2010-09-20,115.06,2010,September,Monday
379,2010-09-27,115.39,2010,September,Monday
380,2010-10-04,116.01,2010,October,Monday
381,2010-10-11,116.78,2010,October,Monday
382,2010-10-18,117.28,2010,October,Monday
383,2010-10-25,117.74,2010,October,Monday
384,2010-11-01,118.18,2010,November,Monday
385,2010-11-08,118.67,2010,November,Monday
386,2010-11-15,118.8,2010,November,Monday
387,2010-11-22,118.99,2010,November,Monday
388,2010-11-29,119.21,2010,November,Monday
389,2010-12-06,120.54,2010,December,Monday
390,2010-12-13,121.68,2010,December,Monday
391,2010-12-20,122.31,2010,December,Monday
392,2010-12-27,123.44,2010,December,Monday
393,2011-01-03,124.85,2011,January,Monday
394,2011-01-10,127.4,2011,January,Monday
395,2011-01-17,127.87,2011,January,Monday
396,2011-01-24,128.35,2011,January,Monday
397,2011-01-31,128.55,2011,January,Monday
398,2011-02-07,128.64,2011,February,Monday
399,2011-02-14,128.73,2011,February,Monday
400,2011-02-21,128.92,2011,February,Monday
401,2011-02-28,129.72,2011,February,Monday
402,2011-03-07,131.28,2011,March,Monday
403,2011-03-14,132.18,2011,March,Monday
404,2011-03-21,133.11,2011,March,Monday
405,2011-03-28,132.44,2011,March,Monday
406,2011-04-04,132.81,2011,April,Monday
407,2011-04-11,133.68,2011,April,Monday
408,2011-04-18,135.06,2011,April,Monday
